run_tag,model,fit_seconds,auc,accuracy,f1,precision_weighted,recall_weighted,TP,FP,FN,TN,model_path
20260226_070742,svm,122.46102499961853,0.5069781553398058,0.49246231155778897,0.48952953428215157,0.4956745424846801,0.4924623115577889,55,60,41,43,/home/acer1/sparkenv/cifer_full_run/models/svm_best_20260226_070742
20260226_070742,rf,40.05726146697998,0.4894316343042071,0.47738693467336685,0.3511565735770525,0.46620918907885656,0.47738693467336685,90,98,6,5,/home/acer1/sparkenv/cifer_full_run/models/rf_best_20260226_070742
20260226_070742,lr,110.19786667823792,0.4869538834951456,0.49246231155778897,0.4534746181786266,0.5033693617276493,0.49246231155778897,74,79,22,24,/home/acer1/sparkenv/cifer_full_run/models/lr_best_20260226_070742
20260226_070742,dt,28.427043914794922,0.45792880258899676,0.5678391959798995,0.5070854975155893,0.6064345395617139,0.5678391959798995,20,10,76,93,/home/acer1/sparkenv/cifer_full_run/models/dt_best_20260226_070742
